,URL,pages,description,prix,Enchère ou vente
4582,https://www.zoopla.co.uk//for-sale/details/54078650?search_identifier=cf88198ac198078c89cdfd0b11a6cb2a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=46,2 bed flat for sale,120000.0,vente
1534,https://www.zoopla.co.uk//for-sale/details/51183815?search_identifier=741597e526e0bc932b16b74bb1c9f5e5,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=16,1 bed flat for sale,120000.0,vente
4540,https://www.zoopla.co.uk//for-sale/details/54079495?search_identifier=cf88198ac198078c89cdfd0b11a6cb2a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=46,2 bed flat for sale,120000.0,vente
296,https://www.zoopla.co.uk//for-sale/details/54162146?search_identifier=4f4aae62b53cd91ca1efde5d676306f8,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=3,1 bed flat for sale,120000.0,vente
4068,https://www.zoopla.co.uk//new-homes/details/54091339?search_identifier=7a8541b13a993b61d4666d1416e42352,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=41,3 bed flat for sale,121250.0,vente
1077,https://www.zoopla.co.uk//new-homes/details/54147905?search_identifier=fe807ecfbac015f02352bddcb4d44f93,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=11,3 bed flat for sale,121250.0,vente
4078,https://www.zoopla.co.uk//new-homes/details/54091261?search_identifier=7a8541b13a993b61d4666d1416e42352,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=41,3 bed flat for sale,121875.0,vente
2271,https://www.zoopla.co.uk//for-sale/details/54124191?search_identifier=7855bd28b4f8269093228e149b31c366,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=23,2 bed flat for sale,124000.0,vente
4539,https://www.zoopla.co.uk//for-sale/details/54079499?search_identifier=cf88198ac198078c89cdfd0b11a6cb2a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=46,3 bed flat for sale,124375.0,vente
1389,https://www.zoopla.co.uk//new-homes/details/54141423?search_identifier=3cfe3f584c71cef3e322c075eb10e2e9,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=14,2 bed flat for sale,124500.0,vente
4740,https://www.zoopla.co.uk//for-sale/details/54076654?search_identifier=cddf4390077aadc405d46f0373930128,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=48,Studio for sale,125000.0,vente
4635,https://www.zoopla.co.uk//for-sale/details/54077903?search_identifier=572b0c58279461dfb83c64c7bb4df3f5,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=47,Studio for sale,125000.0,vente
4566,https://www.zoopla.co.uk//for-sale/details/54078840?search_identifier=cf88198ac198078c89cdfd0b11a6cb2a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=46,Studio for sale,125000.0,vente
3491,https://www.zoopla.co.uk//for-sale/details/54101650?search_identifier=9dc7c865aa4092bf72c6a483b1191463,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=35,2 bed flat for sale,125000.0,vente
3503,https://www.zoopla.co.uk//new-homes/details/54101545?search_identifier=4ca3ac5f42f9829a770bdf952ab50893,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=36,1 bed flat for sale,126250.0,vente
3598,https://www.zoopla.co.uk//for-sale/details/54098922?search_identifier=4ca3ac5f42f9829a770bdf952ab50893,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=36,Parking/garage for sale,129950.0,vente
730,https://www.zoopla.co.uk//for-sale/details/54153762?search_identifier=b76c80d2603f19c8f29aeb2044a454fd,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=8,Property for sale,130000.0,vente
124,https://www.zoopla.co.uk//for-sale/details/54165445?search_identifier=da4a7aa09a3e8961feb0847e3012d9d8,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=2,1 bed flat for sale,130000.0,vente
527,https://www.zoopla.co.uk//new-homes/details/54157634?search_identifier=c4c4522d09a4180e525e6a6b5efe62e5,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=6,2 bed flat for sale,131250.0,vente
528,https://www.zoopla.co.uk//new-homes/details/54157627?search_identifier=c4c4522d09a4180e525e6a6b5efe62e5,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=6,2 bed flat for sale,131250.0,vente
2535,https://www.zoopla.co.uk//new-homes/details/54119124?search_identifier=c7f699d8dc072d33fa2bb65cbe563ec6,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=26,2 bed flat for sale,131250.0,vente
529,https://www.zoopla.co.uk//new-homes/details/54157617?search_identifier=c4c4522d09a4180e525e6a6b5efe62e5,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=6,2 bed flat for sale,132750.0,vente
1584,https://www.zoopla.co.uk//for-sale/details/54138964?search_identifier=741597e526e0bc932b16b74bb1c9f5e5,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=16,Studio for sale,134950.0,vente
