,URL,ville,code postal,adresse,prix £,surface m2,Enchère ou vente,Etat neuf ou ancien,Nombre de chambres,Nombre de SDB,Nombre de séjour,Description,Type bien,Aide
63,https://www.zoopla.co.uk//for-sale/details/47211855?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Sidcup,DA15,"Old Farm Avenue, Sidcup DA15",525000,NA,vente,A,3,1,2,3 bed semi-detached house for sale,Maison,NA
64,https://www.zoopla.co.uk//for-sale/details/54182065?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Stanmore,HA7,"Rainsford Close, Stanmore HA7",360000,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
65,https://www.zoopla.co.uk//for-sale/details/54182071?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,East Molesey,KT8,"Hampton Court Road, East Molesey KT8",6500000,NA,vente,A,8,NA,NA,8 bed property for sale,Maison avec jardin,NA
66,https://www.zoopla.co.uk//for-sale/details/54182064?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,W14,"Addison Road, London W14",850000,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
67,https://www.zoopla.co.uk//for-sale/details/49752289?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Hampton,TW12,"Linden Road, Hampton TW12",629950,NA,vente,A,3,2,1,3 bed terraced house for sale,Maison,NA
68,https://www.zoopla.co.uk//for-sale/details/54182022?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,London,EC1A,"23 Middle Street, London EC1A",474950,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
69,https://www.zoopla.co.uk//for-sale/details/54181987?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,N11,"Parkhurst Road, Friern Barnet, London N11",800000,127,vente,A,4,2,2,4 bed terraced house for sale,Maison,NA
70,https://www.zoopla.co.uk//for-sale/details/54181997?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Hampton,TW12,"Stevens Close, Hampton, Surrey TW12",475000,NA,vente,A,3,1,1,3 bed terraced house for sale,Maison,NA
71,https://www.zoopla.co.uk//for-sale/details/54181986?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,SW6,"Inglethorpe Street, London SW6",850000,NA,vente,A,4,2,1,4 bed end terrace house for sale,Maison,NA
72,https://www.zoopla.co.uk//for-sale/details/54181957?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,London,SW1E,"Kingsgate Walk, St James, London SW1E",949000,44.779246,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
73,https://www.zoopla.co.uk//for-sale/details/54181968?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Croydon,CR0,"Southbridge Road, Croydon CR0",450000,NA,vente,A,3,1,2,3 bed property for sale,Maison avec jardin,NA
74,https://www.zoopla.co.uk//for-sale/details/54181956?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,W8,"Troy Court, Kensington High Street W8",1495000,NA,vente,A,3,1,1,3 bed flat for sale,Appartement,NA
75,https://www.zoopla.co.uk//new-homes/details/54181938?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,E1,"Eastlight, London E1",399000,NA,vente,N,1,1,1,1 bed flat for sale,Appartement,Help to buy
76,https://www.zoopla.co.uk//for-sale/details/54181932?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,E15,"George Hudson Tower, 28 High Street, London E15",475000,76.18046,vente,A,2,NA,NA,2 bed flat for sale,Appartement,NA
77,https://www.zoopla.co.uk//for-sale/details/54181933?search_identifier=e431d2b21f8c113b686bf52a8d653f6a,Londres,E10,"Leasowes Road, London E10",425000,70.327571,vente,A,2,NA,NA,2 bed flat for sale,Appartement,NA
