,URL,pages,description,prix,Enchère ou vente,Frais sans enchère
1028,https://www.zoopla.co.uk//for-sale/details/54153714?search_identifier=fe807ecfbac015f02352bddcb4d44f93,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=11,1 bed flat for sale,80000.0,vente,NA
8090,https://www.zoopla.co.uk//new-homes/details/54005982?search_identifier=132b4598d0b57ae63192f58eaf908d28,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=81,1 bed flat for sale,81000.0,vente,NA
8649,https://www.zoopla.co.uk//for-sale/details/53994228?search_identifier=ae4027b310421f37f8f05a5c6443bc54,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=87,1 bed flat for sale,81250.0,vente,NA
4788,https://www.zoopla.co.uk//for-sale/details/54079663?search_identifier=cddf4390077aadc405d46f0373930128,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=48,1 bed flat for sale,81875.0,vente,NA
7795,https://www.zoopla.co.uk//for-sale/details/52911951?search_identifier=ab3619dd29cee0ad1e842a39f75fb611,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=78,1 bed flat for sale,82500.0,vente,NA
2895,https://www.zoopla.co.uk//new-homes/details/54116782?search_identifier=1768e58e3707f3b23fb796f0ef9ce5bb,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=29,1 bed flat for sale,84995.0,vente,NA
1693,https://www.zoopla.co.uk//new-homes/details/54043784?search_identifier=8d5ef7abd61f7b0d233372bb90b5f0bc,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=17,1 bed flat for sale,87500.0,vente,NA
8066,https://www.zoopla.co.uk//new-homes/details/54006395?search_identifier=132b4598d0b57ae63192f58eaf908d28,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=81,1 bed flat for sale,87500.0,vente,NA
6890,https://www.zoopla.co.uk//new-homes/details/54032366?search_identifier=1abf4aab03a50d661349b059887038a8,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=69,1 bed flat for sale,88125.0,vente,NA
8060,https://www.zoopla.co.uk//new-homes/details/54006411?search_identifier=132b4598d0b57ae63192f58eaf908d28,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=81,1 bed flat for sale,88750.0,vente,NA
8052,https://www.zoopla.co.uk//new-homes/details/54006711?search_identifier=132b4598d0b57ae63192f58eaf908d28,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=81,1 bed flat for sale,90000.0,vente,NA
5469,https://www.zoopla.co.uk//new-homes/details/54067967?search_identifier=2947b15dd8dbdfa4fa1d243f925218c7,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=55,1 bed flat for sale,90000.0,vente,NA
6892,https://www.zoopla.co.uk//new-homes/details/54032370?search_identifier=1abf4aab03a50d661349b059887038a8,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=69,1 bed flat for sale,90000.0,vente,NA
8056,https://www.zoopla.co.uk//new-homes/details/54006519?search_identifier=132b4598d0b57ae63192f58eaf908d28,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=81,1 bed flat for sale,90000.0,vente,NA
1176,https://www.zoopla.co.uk//new-homes/details/54150620?search_identifier=23a43f2fe22e23116a4f7dab9e3cf741,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=12,1 bed flat for sale,91250.0,vente,NA
8048,https://www.zoopla.co.uk//new-homes/details/54006723?search_identifier=132b4598d0b57ae63192f58eaf908d28,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=81,1 bed flat for sale,91250.0,vente,NA
8044,https://www.zoopla.co.uk//new-homes/details/54006802?search_identifier=132b4598d0b57ae63192f58eaf908d28,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=81,1 bed flat for sale,91250.0,vente,NA
4926,https://www.zoopla.co.uk//new-homes/details/54077505?search_identifier=238a937a86f4d76a7dc6f3df0d7bb5a0,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=50,1 bed flat for sale,92500.0,vente,NA
2800,https://www.zoopla.co.uk//new-homes/details/54119161?search_identifier=1768e58e3707f3b23fb796f0ef9ce5bb,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=29,1 bed flat for sale,92500.0,vente,NA
2792,https://www.zoopla.co.uk//new-homes/details/54119438?search_identifier=aead6369aaf688945fcc6ca2557d2b20,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=28,1 bed flat for sale,93125.0,vente,NA
5824,https://www.zoopla.co.uk//new-homes/details/54062144?search_identifier=ca956d7ec04f4b458c9a511e740b8e3a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=59,1 bed flat for sale,93750.0,vente,NA
5823,https://www.zoopla.co.uk//new-homes/details/54062091?search_identifier=ca956d7ec04f4b458c9a511e740b8e3a,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=59,1 bed flat for sale,93750.0,vente,NA
4452,https://www.zoopla.co.uk//for-sale/details/54089601?search_identifier=67ba0911be9c61924e653e74da3148eb,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=45,1 bed flat for sale,94000.0,vente,NA
8766,https://www.zoopla.co.uk//for-sale/details/53992896?search_identifier=bc580ae5322c677e87215cf5ebf4d761,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=88,1 bed flat for sale,94500.0,vente,NA
2869,https://www.zoopla.co.uk//new-homes/details/54117784?search_identifier=1768e58e3707f3b23fb796f0ef9ce5bb,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=29,1 bed flat for sale,95995.0,vente,NA
5398,https://www.zoopla.co.uk//new-homes/details/54068807?search_identifier=c410247bdd38ccbe0830fbc10e9adda2,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=54,1 bed flat for sale,96250.0,vente,NA
3004,https://www.zoopla.co.uk//new-homes/details/54115006?search_identifier=ae19cf55e1b8f615f85bc82ca1b01fb1,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=31,1 bed flat for sale,97500.0,vente,NA
1333,https://www.zoopla.co.uk//for-sale/details/54148351?search_identifier=3cfe3f584c71cef3e322c075eb10e2e9,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=14,2 bed flat for sale,97500.0,vente,NA
7953,https://www.zoopla.co.uk//for-sale/details/54009292?search_identifier=deac6f9206c15779a662370da0a54810,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=80,1 bed flat for sale,97500.0,vente,NA
2896,https://www.zoopla.co.uk//new-homes/details/54116779?search_identifier=1768e58e3707f3b23fb796f0ef9ce5bb,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=29,1 bed flat for sale,99995.0,vente,NA
2894,https://www.zoopla.co.uk//new-homes/details/54116791?search_identifier=1768e58e3707f3b23fb796f0ef9ce5bb,https://www.zoopla.co.uk/for-sale/property/london/?identifier=london&page_size=100&q=london&search_source=refine&radius=0&pn=29,1 bed flat for sale,99995.0,vente,NA
