,URL,ville,code postal,adresse,prix,surface,Enchère ou vente,Etat neuf ou ancien,Nombre de chambres,Nombre de SDB,Nombre de séjour,Description,Type bien,Aide
1373,https://www.zoopla.co.uk//for-sale/details/54147978?search_identifier=3cfe3f584c71cef3e322c075eb10e2e9, Surbiton,KT5,"Grand Avenue, Berrylands, Surbiton KT5",775000.0,NA,vente,A,3,1,2,3 bed semi-detached house for sale,Maison,NA
8913,https://www.zoopla.co.uk//for-sale/details/52306708?search_identifier=ae7571eb27cdceacec80290edf19116a, London,E9,"Belsham Street, London E9",775000.0,NA,vente,A,3,2,1,3 bed flat for sale,Appartement,NA
7819,https://www.zoopla.co.uk//for-sale/details/54013541?search_identifier=b2cba6063ea22c7a60103115a1c89a1e, London,N11,"Shrewsbury Road, London N11",775000.0,NA,vente,A,4,2,2,4 bed terraced house for sale,Maison,NA
6753,https://www.zoopla.co.uk//for-sale/details/54035824?search_identifier=71875a417683f11ff7d7eefc45d4e42c, Purley,CR8,"Riddlesdown Avenue, Purley CR8",775000.0,NA,vente,A,5,2,3,5 bed detached house for sale,Maison,NA
8912,https://www.zoopla.co.uk//for-sale/details/53990475?search_identifier=ae7571eb27cdceacec80290edf19116a, London,SW6,"Crowther Close, Fulham & Parsons Green, London SW6",775000.0,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA
6712,https://www.zoopla.co.uk//for-sale/details/54038920?search_identifier=71875a417683f11ff7d7eefc45d4e42c, Kingston Upon Thames,KT1,"Southsea Road, Kingston Upon Thames KT1",775000.0,NA,vente,A,3,2,2,3 bed terraced house for sale,Maison,NA
518,https://www.zoopla.co.uk//for-sale/details/54164404?search_identifier=c4c4522d09a4180e525e6a6b5efe62e5, London,SW17,"Crowborough Road, London SW17",775000.0,NA,vente,A,3,1,2,3 bed end terrace house for sale,Maison,NA
2070,https://www.zoopla.co.uk//for-sale/details/54136431?search_identifier=81df929a334627b4b26f5398e1ff779b, London,W14,"Hazlitt Road, London W14",775000.0,NA,vente,A,2,2,NA,2 bed flat for sale,Appartement,NA
892,https://www.zoopla.co.uk//for-sale/details/54157103?search_identifier=53e48c5723f36dcf12d90e69a71ff408, Middlesex,HA4,"Windmill Hill, Ruislip, Middlesex HA4",775000.0,NA,vente,A,4,3,2,4 bed detached house for sale,Maison,NA
1877,https://www.zoopla.co.uk//for-sale/details/54138998?search_identifier=92c224e336c3061160fdc18c13247ef4, London,SE12,"Winn Road, London SE12",775000.0,NA,vente,A,3,2,2,3 bed detached house for sale,Maison,NA
2728,https://www.zoopla.co.uk//for-sale/details/54120459?search_identifier=aead6369aaf688945fcc6ca2557d2b20, Clapton,E5,"261 Glyn Road, Clapton E5",775000.0,NA,vente,A,4,NA,NA,4 bed terraced house for sale,Maison,NA
6074,https://www.zoopla.co.uk//for-sale/details/54052339?search_identifier=4876615b882bf2091218b8a36db316a9, London,E9,"Rutland Road, South Hackney, London E9",775000.0,NA,vente,A,2,NA,NA,2 bed flat for sale,Appartement,NA
