,URL,ville,code postal,adresse,prix,surface,Enchère ou vente,Etat neuf ou ancien,Nombre de chambres,Nombre de SDB,Nombre de séjour,Description,Type bien,Aide
8227,https://www.zoopla.co.uk//for-sale/details/54003912?search_identifier=f327b53a9fc4ed692076843b7ed28cb9, London,SE23,"Manor Mount, London SE23",325000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
8223,https://www.zoopla.co.uk//for-sale/details/51214194?search_identifier=f327b53a9fc4ed692076843b7ed28cb9, London,SE6,"Ravensbourne Park, Catford, London SE6",325000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
4509,https://www.zoopla.co.uk//for-sale/details/54087999?search_identifier=cf88198ac198078c89cdfd0b11a6cb2a, Barking,IG11,"De Pass Gardens, Barking IG11",325000.0,NA,vente,A,2,NA,NA,2 bed flat for sale,Appartement,NA
4644,https://www.zoopla.co.uk//for-sale/details/54084798?search_identifier=572b0c58279461dfb83c64c7bb4df3f5, London,NW2,"Temple Road, Cricklewood, London NW2",325000.0,NA,vente,A,3,1,1,3 bed flat for sale,Appartement,NA
6464,https://www.zoopla.co.uk//for-sale/details/54045035?search_identifier=ba2b605830fffdb4450f724cb82c2b94, Dagenham,RM10,"Hamden Crescent, Dagenham RM10",325000.0,NA,vente,A,3,1,1,3 bed terraced house for sale,Maison,NA
2798,https://www.zoopla.co.uk//for-sale/details/54119510?search_identifier=aead6369aaf688945fcc6ca2557d2b20, Croydon,CR0,"Windham Avenue, New Addington, Croydon CR0",325000.0,NA,vente,A,3,NA,NA,3 bed semi-detached house for sale,Maison,NA
6553,https://www.zoopla.co.uk//for-sale/details/54043599?search_identifier=fb6d1e772d68bffb98839d55e6a6a60e, Orpington,BR5,"Killewarren Way, Orpington BR5",325000.0,NA,vente,A,2,1,1,2 bed terraced house for sale,Maison,NA
5985,https://www.zoopla.co.uk//for-sale/details/54055845?search_identifier=9c41cec468fb72b3675f3898119552c5, London,SE13,"Slaithwaite Road, London SE13",325000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
6629,https://www.zoopla.co.uk//for-sale/details/54041861?search_identifier=5f379b47885253facf691c9da832d0ff, London,SW12,"Gateway House, 2A Balham Hill, London SW12",325000.0,NA,vente,A,NA,1,1,Studio for sale,Studio,NA
6628,https://www.zoopla.co.uk//new-homes/details/54041896?search_identifier=5f379b47885253facf691c9da832d0ff, Leyton,E10,"256 Church Road, Leyton E10",325000.0,53.605031,vente,N,1,1,NA,1 bed flat for sale,Appartement,NA
1131,https://www.zoopla.co.uk//for-sale/details/54151766?search_identifier=23a43f2fe22e23116a4f7dab9e3cf741, London,N11,"Link Road, London N11",325000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
9525,https://www.zoopla.co.uk//for-sale/details/53974499?search_identifier=a5656084126786453cab24bdb8eed128, Middlesex,TW13,"294 Hounslow Road, Hanworth, Feltham, Middlesex TW13",325000.0,NA,Enchères,A,2,NA,NA,2 bed semi-detached house for sale,Maison,NA
1584,https://www.zoopla.co.uk//for-sale/details/54143912?search_identifier=741597e526e0bc932b16b74bb1c9f5e5, Edgware,HA8,"Loch Crescent, Edgware HA8",325000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
7825,https://www.zoopla.co.uk//for-sale/details/54012109?search_identifier=b2cba6063ea22c7a60103115a1c89a1e, London,SE25,"Birchanger Road, London SE25",325000.0,NA,vente,A,3,2,1,3 bed flat for sale,Appartement,NA
161,https://www.zoopla.co.uk//for-sale/details/54169027?search_identifier=da4a7aa09a3e8961feb0847e3012d9d8, Orpington,BR6,"Woodcote Drive, Orpington BR6",325000.0,NA,vente,A,3,1,1,3 bed flat for sale,Appartement,NA
6959,https://www.zoopla.co.uk//for-sale/details/54030925?search_identifier=b4c3dbcd616bf46f8c93e6328d143367, London,SE18,"Herbert Road, Plumstead, London SE18",325000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
2912,https://www.zoopla.co.uk//for-sale/details/54116952?search_identifier=25971fe6e2637a7010d0b8b56ed1cfc2, London,N12,"Halliwick Court Parade, Woodhouse Road, London N12",325000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
9788,https://www.zoopla.co.uk//new-homes/details/53969796?search_identifier=8fbaba4bb000c1682feb6a45a150501f, Thornton Heath,CR7,"Manchester Road, Thornton Heath CR7",325000.0,NA,vente,N,1,1,1,1 bed maisonette for sale,Maisonette,NA
6585,https://www.zoopla.co.uk//new-homes/details/54042812?search_identifier=fb6d1e772d68bffb98839d55e6a6a60e, Thornton Heath,CR7,"Manchester Road, Thornton Heath CR7",325000.0,NA,vente,N,1,1,1,1 bed flat for sale,Appartement,NA
7849,https://www.zoopla.co.uk//for-sale/details/54011090?search_identifier=b2cba6063ea22c7a60103115a1c89a1e, Ealing,W13,"Curlew Court, Gurnell Grove, Ealing W13",325000.0,NA,vente,A,3,NA,NA,3 bed flat for sale,Appartement,NA
2886,https://www.zoopla.co.uk//for-sale/details/54117880?search_identifier=1768e58e3707f3b23fb796f0ef9ce5bb, Orpington,BR6,"Ladycroft Way, Farnborough, Orpington BR6",325000.0,72,vente,A,2,1,1,2 bed maisonette for sale,Maisonette,NA
5981,https://www.zoopla.co.uk//for-sale/details/54055983?search_identifier=9c41cec468fb72b3675f3898119552c5, Enfield,EN1,"Pevensey Avenue, Enfield EN1",325000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
5946,https://www.zoopla.co.uk//for-sale/details/54056566?search_identifier=9c41cec468fb72b3675f3898119552c5, Essex,IG1,"Toronto Road, Ilford, Essex IG1",325000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
8453,https://www.zoopla.co.uk//for-sale/details/49086477?search_identifier=b2922a150ccef682e4c96f0219cdcb5b, Streatham / Streatham Hill,SW16,"Blytheswood Place, Streatham / Streatham Hill SW16",325000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
7951,https://www.zoopla.co.uk//for-sale/details/54009434?search_identifier=deac6f9206c15779a662370da0a54810, London,E9,"Homerton High Street, London E9",325000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
4522,https://www.zoopla.co.uk//for-sale/details/54086992?search_identifier=cf88198ac198078c89cdfd0b11a6cb2a, London,E14,"Rhodeswell Road, London E14",325000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
9661,https://www.zoopla.co.uk//for-sale/details/51211587?search_identifier=caef4a319a7642559fc5e78f9d4c4e3f, London,SE7,"47 Bramhope Lane, London SE7",325000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
4535,https://www.zoopla.co.uk//for-sale/details/54086819?search_identifier=cf88198ac198078c89cdfd0b11a6cb2a, London,SE27,"York Hill, London SE27",325000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
2714,https://www.zoopla.co.uk//for-sale/details/49386185?search_identifier=aead6369aaf688945fcc6ca2557d2b20, London,N9,"St. Edmunds Road, Edmonton, London N9",325000.0,NA,vente,A,3,1,1,3 bed terraced house for sale,Maison,NA
6287,https://www.zoopla.co.uk//for-sale/details/54048440?search_identifier=3a76a2eb752c667ddea6c669b3a4288b, Beckenham,BR3,"Croydon Road, Beckenham BR3",325000.0,NA,vente,A,1,2,1,1 bed flat for sale,Appartement,NA
3980,https://www.zoopla.co.uk//for-sale/details/54096346?search_identifier=d4baacc450a5ae752fb3a19f5972dc5a, London,W2,"Park West, Edgware Road, London W2",325000.0,NA,vente,A,1,1,NA,1 bed flat for sale,Appartement,NA
3972,https://www.zoopla.co.uk//for-sale/details/54096395?search_identifier=d4baacc450a5ae752fb3a19f5972dc5a, Uxbridge,UB8,"Chadwick Gardens, Uxbridge UB8",325000.0,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA
256,https://www.zoopla.co.uk//for-sale/details/54167740?search_identifier=4f4aae62b53cd91ca1efde5d676306f8, Eltham,SE9,"Rennets Wood Road, Eltham SE9",325000.0,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA
4553,https://www.zoopla.co.uk//for-sale/details/54086562?search_identifier=cf88198ac198078c89cdfd0b11a6cb2a, London,SE25,"Selhurst Road, London SE25",325000.0,NA,vente,A,2,NA,NA,2 bed flat for sale,Appartement,NA
9679,https://www.zoopla.co.uk//for-sale/details/53971590?search_identifier=caef4a319a7642559fc5e78f9d4c4e3f, London,E14,"Westferry Road, London E14",325000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
1379,https://www.zoopla.co.uk//for-sale/details/54147866?search_identifier=3cfe3f584c71cef3e322c075eb10e2e9, Dagenham,RM8,"Green Lane, Dagenham RM8",325000.0,NA,vente,A,2,1,1,2 bed terraced house for sale,Maison,NA
9686,https://www.zoopla.co.uk//for-sale/details/53971409?search_identifier=caef4a319a7642559fc5e78f9d4c4e3f, London,E14,"Westferry Road, London E14",325000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
4559,https://www.zoopla.co.uk//for-sale/details/54086228?search_identifier=cf88198ac198078c89cdfd0b11a6cb2a, Mitcham,CR4,"Church Road, Mitcham CR4",325000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
2674,https://www.zoopla.co.uk//for-sale/details/54121192?search_identifier=b2405fab13ec430939762f5907ff3366, Twickenham,TW2,"Chertsey Road, Whitton, Twickenham TW2",325000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
8057,https://www.zoopla.co.uk//for-sale/details/54006759?search_identifier=132b4598d0b57ae63192f58eaf908d28, London,SE25,"Birchanger Road, South Norwood, London SE25",325000.0,NA,vente,A,3,2,1,3 bed flat for sale,Appartement,NA
6278,https://www.zoopla.co.uk//for-sale/details/54048714?search_identifier=3a76a2eb752c667ddea6c669b3a4288b, London,E13,"Glasgow Road, London E13",325000.0,NA,vente,A,1,NA,1,1 bed flat for sale,Appartement,NA
6141,https://www.zoopla.co.uk//for-sale/details/54051130?search_identifier=a291fdb6dcd788297aed12d267d98e11, United Kingdom,RM8,"Dagenham, Essex, United Kingdom RM8",325000.0,NA,vente,A,2,1,1,2 bed bungalow for sale,Bungalow,NA
258,https://www.zoopla.co.uk//for-sale/details/54167746?search_identifier=4f4aae62b53cd91ca1efde5d676306f8, Kidbrooke,SE3,"Langbrook Road, Kidbrooke SE3",325000.0,NA,vente,A,2,1,1,2 bed terraced house for sale,Maison,NA
2739,https://www.zoopla.co.uk//for-sale/details/54120369?search_identifier=aead6369aaf688945fcc6ca2557d2b20, Harrow,HA3,"Rufford Close, Kenton, Harrow HA3",325000.0,NA,vente,A,1,1,1,1 bed end terrace house for sale,Maison,NA
286,https://www.zoopla.co.uk//for-sale/details/54167287?search_identifier=4f4aae62b53cd91ca1efde5d676306f8, Bellamy Drive,HA7,"Bellamy Court, Bellamy Drive HA7",325000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
8199,https://www.zoopla.co.uk//for-sale/details/54004223?search_identifier=33b8af2a447234140f52656b515923c3, England,E7,"Forest Gate, London, England E7",325000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
4525,https://www.zoopla.co.uk//for-sale/details/54086960?search_identifier=cf88198ac198078c89cdfd0b11a6cb2a, Wembley,HA9,"Empire Way, Wembley HA9",325000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
1296,https://www.zoopla.co.uk//for-sale/details/54149297?search_identifier=e8a31cfb56cfc8829bdea22a56efac86, Kent,DA16,"Wickham Street, Welling, Kent DA16",325000.0,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA
190,https://www.zoopla.co.uk//for-sale/details/54168610?search_identifier=da4a7aa09a3e8961feb0847e3012d9d8, Dagenham,RM8,"Windsor Road, Dagenham RM8",325000.0,NA,vente,A,2,1,1,2 bed terraced house for sale,Maison,NA
1299,https://www.zoopla.co.uk//for-sale/details/54149233?search_identifier=e8a31cfb56cfc8829bdea22a56efac86, Croydon,CR0,"Cross Road, Croydon CR0",325000.0,NA,vente,A,3,1,1,3 bed terraced house for sale,Maison,NA
1449,https://www.zoopla.co.uk//for-sale/details/52211245?search_identifier=b689049719149171b1503742a6e12f89, Teddington,TW11,"Kingston Lane, Teddington TW11",325000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
1318,https://www.zoopla.co.uk//for-sale/details/49804735?search_identifier=3cfe3f584c71cef3e322c075eb10e2e9, Croydon,CR0,"Turnpike Link, Croydon CR0",325000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
4614,https://www.zoopla.co.uk//for-sale/details/54085327?search_identifier=572b0c58279461dfb83c64c7bb4df3f5, London,SE8,"Dorking Close, London SE8",325000.0,NA,vente,A,3,NA,NA,3 bed flat for sale,Appartement,NA
1322,https://www.zoopla.co.uk//for-sale/details/54148809?search_identifier=3cfe3f584c71cef3e322c075eb10e2e9, West Drayton,UB7,"Rowan Road, West Drayton UB7",325000.0,NA,vente,A,3,1,1,3 bed maisonette for sale,Maisonette,NA
3919,https://www.zoopla.co.uk//for-sale/details/54098255?search_identifier=d4baacc450a5ae752fb3a19f5972dc5a, Essex,IG4,"Redbridge, Essex IG4",325000.0,NA,vente,A,2,1,1,2 bed maisonette for sale,Maisonette,NA
3921,https://www.zoopla.co.uk//for-sale/details/54098218?search_identifier=d4baacc450a5ae752fb3a19f5972dc5a, Harrow,HA3,"Wolseley Road, Wealdstone, Harrow HA3",325000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
2750,https://www.zoopla.co.uk//for-sale/details/54120194?search_identifier=aead6369aaf688945fcc6ca2557d2b20, London,SE20,"Chestnut Grove, London SE20",325000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
6358,https://www.zoopla.co.uk//for-sale/details/54047169?search_identifier=f490103197de394e17cb927473b3767d, London,SW11,"Westbridge Road, London SW11",325000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
1467,https://www.zoopla.co.uk//for-sale/details/54145488?search_identifier=b689049719149171b1503742a6e12f89, Croydon,CR0,"Cross Road, Croydon CR0",325000.0,NA,vente,A,3,NA,NA,3 bed terraced house for sale,Maison,NA
367,https://www.zoopla.co.uk//for-sale/details/54166241?search_identifier=3ffddd95675a599ff5ad36a8a9913c84, Bromley,BR2,"Shortlands Grove, Bromley BR2",325000.0,NA,vente,A,1,1,NA,1 bed flat for sale,Appartement,NA
8197,https://www.zoopla.co.uk//for-sale/details/54004308?search_identifier=33b8af2a447234140f52656b515923c3, 14 Western Gateway,E16,"Westgate Apartments, 14 Western Gateway E16",325000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
1111,https://www.zoopla.co.uk//for-sale/details/54152054?search_identifier=23a43f2fe22e23116a4f7dab9e3cf741, London,SE14,"Luli Court Trim Street, London SE14",325000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
3075,https://www.zoopla.co.uk//for-sale/details/54114304?search_identifier=ae19cf55e1b8f615f85bc82ca1b01fb1, Hornchurch,RM12,"Victor Gardens, Hornchurch RM12",325000.0,NA,vente,A,1,NA,NA,1 bed bungalow for sale,Bungalow,NA
4125,https://www.zoopla.co.uk//for-sale/details/54094684?search_identifier=0c7007bf60077d229b892565fe7c0df3, Kent,DA17,"Morris Drive, Belvedere, Kent DA17",325000.0,NA,vente,A,2,2,1,2 bed property for sale,Maison avec jardin,NA
2287,https://www.zoopla.co.uk//for-sale/details/54130072?search_identifier=7855bd28b4f8269093228e149b31c366, Enfield,EN1,"St. Marks Road, Enfield EN1",325000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
6809,https://www.zoopla.co.uk//for-sale/details/54034872?search_identifier=1abf4aab03a50d661349b059887038a8, Bayswater,W2,"Orme Court, Bayswater W2",325000.0,NA,vente,A,NA,NA,NA,Studio for sale,Studio,NA
433,https://www.zoopla.co.uk//for-sale/details/54165398?search_identifier=4b04934ec25d0fa93e83ae8b9deb67ef, London,SW16,"Maple Mews, London SW16",325000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
2295,https://www.zoopla.co.uk//for-sale/details/48704423?search_identifier=7855bd28b4f8269093228e149b31c366, London,SE12,"Lyme Farm Road, London SE12",325000.0,NA,vente,A,2,1,1,2 bed maisonette for sale,Maisonette,NA
447,https://www.zoopla.co.uk//for-sale/details/54165254?search_identifier=4b04934ec25d0fa93e83ae8b9deb67ef, Orpington,BR5,"Lower Road, St. Mary Cray, Orpington BR5",325000.0,NA,vente,A,2,1,1,2 bed terraced house for sale,Maison,NA
1707,https://www.zoopla.co.uk//for-sale/details/54141352?search_identifier=c8eff9ff1a3aecce5a182c764ac10624, Middlesex,UB10,"Portal Close, Uxbridge, Middlesex UB10",325000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
2306,https://www.zoopla.co.uk//for-sale/details/54129896?search_identifier=3db859b17f7188303fb67108baf9eeb7, Twickenham,TW2,"Manor Road, Twickenham TW2",325000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
4356,https://www.zoopla.co.uk//for-sale/details/54091243?search_identifier=c896488009676d2754e19f5d80e08912, London,N22,"Lordship Lane, London N22",325000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
5791,https://www.zoopla.co.uk//for-sale/details/54062842?search_identifier=20d287dba7a84f2a5f13a696af814b1a, Greenford,UB6,"Ruislip Road, Greenford UB6",325000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
2309,https://www.zoopla.co.uk//for-sale/details/54129864?search_identifier=3db859b17f7188303fb67108baf9eeb7, Surrey,CR8,"Lansdowne Court, Brighton Road, Purley, Surrey CR8",325000.0,NA,vente,A,2,1,1,2 bed maisonette for sale,Maisonette,NA
4379,https://www.zoopla.co.uk//for-sale/details/54090983?search_identifier=c896488009676d2754e19f5d80e08912, Richmond,TW9,"Melliss Avenue, Kew, Richmond TW9",325000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
1030,https://www.zoopla.co.uk//for-sale/details/54153749?search_identifier=fe807ecfbac015f02352bddcb4d44f93, Manor Park,E12,"Harcourt Avenue, Manor Park E12",325000.0,NA,vente,A,3,1,1,3 bed flat for sale,Appartement,NA
1611,https://www.zoopla.co.uk//for-sale/details/54142339?search_identifier=8d5ef7abd61f7b0d233372bb90b5f0bc, Sutton,SM1,"Prince Of Wales Road, Sutton SM1",325000.0,NA,vente,A,2,1,1,2 bed maisonette for sale,Maisonette,NA
451,https://www.zoopla.co.uk//for-sale/details/54161354?search_identifier=4b04934ec25d0fa93e83ae8b9deb67ef, Eltham,SE9,"Tarnwood Park, Court Road, Eltham SE9",325000.0,NA,vente,A,3,1,1,3 bed flat for sale,Appartement,NA
3105,https://www.zoopla.co.uk//for-sale/details/54112703?search_identifier=e0ee2bc9f7f06ac362fecc655241c48c, London,E3,"Hamlet Court, 1A Tomlins Grove, London E3",325000.0,39.01926,vente,A,1,NA,NA,1 bed flat for sale,Appartement,NA
7347,https://www.zoopla.co.uk//for-sale/details/54023006?search_identifier=97e36b806aa3f20afb0da2980d035075, Middlesex,HA3,"Lime Close, Harrow, Middlesex HA3",325000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
507,https://www.zoopla.co.uk//for-sale/details/54164608?search_identifier=c4c4522d09a4180e525e6a6b5efe62e5, Newbury Park,IG3,"Suffolk Road, Newbury Park IG3",325000.0,NA,vente,A,3,2,1,3 bed flat for sale,Appartement,NA
3676,https://www.zoopla.co.uk//for-sale/details/54102837?search_identifier=e2ef349b8061d18709a6a85a84a6f39c, South Croydon,CR2,"Waldronhyrst, South Croydon CR2",325000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
9924,https://www.zoopla.co.uk//for-sale/details/53966185?search_identifier=0650b4e1c619fcf5b85dd66fbc73cdce, Surrey,CR0,"Lyconby Gardens, Croydon, Surrey CR0",325000.0,NA,vente,A,2,NA,NA,2 bed maisonette for sale,Maisonette,NA
4922,https://www.zoopla.co.uk//for-sale/details/54077706?search_identifier=238a937a86f4d76a7dc6f3df0d7bb5a0, London,SE2,"Cookhill Road, London SE2",325000.0,NA,vente,A,3,1,1,3 bed terraced house for sale,Maison,NA
4921,https://www.zoopla.co.uk//for-sale/details/54077752?search_identifier=238a937a86f4d76a7dc6f3df0d7bb5a0, London,E14,"Transom Square, London E14",325000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
3184,https://www.zoopla.co.uk//for-sale/details/54111428?search_identifier=e0ee2bc9f7f06ac362fecc655241c48c, London,E15,"84 Romford Road, London E15",325000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
5624,https://www.zoopla.co.uk//for-sale/details/54065777?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd, London,SE25,"Kilravock House, 101 Ross Road, London SE25",325000.0,NA,vente,A,2,NA,NA,2 bed flat for sale,Appartement,NA
3695,https://www.zoopla.co.uk//for-sale/details/54102668?search_identifier=e2ef349b8061d18709a6a85a84a6f39c, Twickenham,TW2,"Langhorn Drive, Twickenham TW2",325000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
3698,https://www.zoopla.co.uk//for-sale/details/54102657?search_identifier=e2ef349b8061d18709a6a85a84a6f39c, Deptford,SE8,"Skua Court, Dorking Close, Deptford SE8",325000.0,NA,vente,A,3,1,1,3 bed maisonette for sale,Maisonette,NA
5652,https://www.zoopla.co.uk//for-sale/details/52577274?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd, London,E3,"714 Wick Lane, London E3",325000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
9345,https://www.zoopla.co.uk//for-sale/details/53978344?search_identifier=1bb59fc96937d864f69d649102f72433, London,SE6,"Engleheart Road, Catford, London SE6",325000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
474,https://www.zoopla.co.uk//for-sale/details/54164983?search_identifier=4b04934ec25d0fa93e83ae8b9deb67ef, West Drayton,UB7,"Park Lodge Avenue, West Drayton UB7",325000.0,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA
9383,https://www.zoopla.co.uk//for-sale/details/53978060?search_identifier=1bb59fc96937d864f69d649102f72433, London,E4,"Retingham Way, London E4",325000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
5691,https://www.zoopla.co.uk//for-sale/details/54064185?search_identifier=a1c48676b0bfa0cd1b3eb1e8b018ffdd, Welling,DA16,"Wickham Street, Welling DA16",325000.0,NA,vente,A,2,1,2,2 bed end terrace house for sale,Maison,NA
4847,https://www.zoopla.co.uk//for-sale/details/54078756?search_identifier=6e021a797919b125b060dfed191d21b4, London,N22,"Coldham Court, Lordship Lane, London N22",325000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
8578,https://www.zoopla.co.uk//for-sale/details/53996509?search_identifier=5f35bcae69a3ad3db52097326a52c397, Surbiton,KT6,"Red Lion Road, Tolworth, Surbiton KT6",325000.0,NA,vente,A,3,1,1,3 bed flat for sale,Appartement,NA
1662,https://www.zoopla.co.uk//for-sale/details/54141561?search_identifier=8d5ef7abd61f7b0d233372bb90b5f0bc, London,E7,"Dames Road, London E7",325000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
5789,https://www.zoopla.co.uk//for-sale/details/54062866?search_identifier=20d287dba7a84f2a5f13a696af814b1a, London,SE26,"Sydenham Road, Sydenham, London SE26",325000.0,NA,vente,A,2,1,1,2 bed maisonette for sale,Maisonette,NA
3029,https://www.zoopla.co.uk//for-sale/details/54114832?search_identifier=ae19cf55e1b8f615f85bc82ca1b01fb1, London,E14,"Amsterdam Road, London Yard, Docklands, London E14",325000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
3033,https://www.zoopla.co.uk//for-sale/details/54114774?search_identifier=ae19cf55e1b8f615f85bc82ca1b01fb1, Romford,RM7,"Abbotts Close, Romford RM7",325000.0,NA,vente,A,3,1,1,3 bed end terrace house for sale,Maison,NA
1045,https://www.zoopla.co.uk//for-sale/details/54153670?search_identifier=fe807ecfbac015f02352bddcb4d44f93, Cockfosters,EN4,"Cockfosters Road, Cockfosters EN4",325000.0,NA,vente,A,3,NA,NA,3 bed maisonette for sale,Maisonette,NA
6693,https://www.zoopla.co.uk//for-sale/details/53924736?search_identifier=5f379b47885253facf691c9da832d0ff, London,SE25,"Farnley Road, London SE25",325000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
5854,https://www.zoopla.co.uk//for-sale/details/54061974?search_identifier=ca956d7ec04f4b458c9a511e740b8e3a, Sutton,SM1,"Thicket Road, Sutton SM1",325000.0,NA,vente,A,2,1,1,2 bed maisonette for sale,Maisonette,NA
3023,https://www.zoopla.co.uk//for-sale/details/54114964?search_identifier=ae19cf55e1b8f615f85bc82ca1b01fb1, Bromley,BR2,"Beckenham Lane, Shortlands, Bromley BR2",325000.0,NA,vente,A,2,1,1,2 bed maisonette for sale,Maisonette,NA
7726,https://www.zoopla.co.uk//for-sale/details/54015405?search_identifier=ab3619dd29cee0ad1e842a39f75fb611, London,SE23,"Eliot Bank, London SE23",325000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
1633,https://www.zoopla.co.uk//for-sale/details/54142221?search_identifier=8d5ef7abd61f7b0d233372bb90b5f0bc, London,SE2,"Mottisfont Road, London SE2",325000.0,NA,vente,A,3,1,1,3 bed terraced house for sale,Maison,NA
8510,https://www.zoopla.co.uk//for-sale/details/51007724?search_identifier=5f35bcae69a3ad3db52097326a52c397, London,NW9,"Goshawk Court, 5 Shearwater Drive, London NW9",325000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
8547,https://www.zoopla.co.uk//for-sale/details/53996939?search_identifier=5f35bcae69a3ad3db52097326a52c397, London,W12,"Shepherds Bush Green, Shepherd's Bush, London W12",325000.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
6691,https://www.zoopla.co.uk//for-sale/details/53957524?search_identifier=5f379b47885253facf691c9da832d0ff, London,SE25,"Whitehorse Lane, London SE25",325000.0,NA,vente,A,2,1,1,2 bed flat for sale,Appartement,NA
877,https://www.zoopla.co.uk//for-sale/details/54157301?search_identifier=53e48c5723f36dcf12d90e69a71ff408, Surrey,CR0,"Lower Addiscombe Road, Croydon, Surrey CR0",327000.0,NA,vente,A,4,2,2,4 bed terraced house for sale,Maison,NA
4801,https://www.zoopla.co.uk//for-sale/details/54079674?search_identifier=6e021a797919b125b060dfed191d21b4, Ealing,UB1,"Plot 210, Southall High Street, Ealing UB1",327500.0,NA,vente,A,1,1,NA,1 bed flat for sale,Appartement,NA
30,https://www.zoopla.co.uk//for-sale/details/54171505?search_identifier=e431d2b21f8c113b686bf52a8d653f6a, Middlesex,UB9,"The Long Room Apartments, Harefield, Middlesex UB9",329950.0,NA,vente,A,1,NA,NA,1 bed flat for sale,Appartement,NA
7596,https://www.zoopla.co.uk//for-sale/details/54017644?search_identifier=39aa78fa1b8597596b773a636dceb381, London,SW19,"Woburn Close, London SW19",329950.0,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA
3817,https://www.zoopla.co.uk//for-sale/details/54099992?search_identifier=821909f7980636a44357a204c6cd4dde, Thornton Heath,CR7,"Livingstone Road, Thornton Heath CR7",329950.0,NA,vente,A,3,1,1,3 bed terraced house for sale,Maison,NA
2557,https://www.zoopla.co.uk//for-sale/details/54124222?search_identifier=c7f699d8dc072d33fa2bb65cbe563ec6, London,NW9,"Doreen Avenue, Kingsbury, London NW9",329950.0,NA,vente,A,2,1,1,2 bed maisonette for sale,Maisonette,NA
