,url,prix,adresse,surface,Etat neuf ou ancien,Nombre de chambres,Nombre de SDB,Nombre de séjour,Description
8853,https://www.zoopla.co.uk//for-sale/details/53812008?search_identifier=46a18dfe473d6cc9c9db6ad36dd02ec1,"£325,000","Manor Park Crescent, Edgware HA8",NA,A,1,1,1,1 bed maisonette for sale
8854,https://www.zoopla.co.uk//for-sale/details/53811975?search_identifier=46a18dfe473d6cc9c9db6ad36dd02ec1,"£695,000","Cabanel Place, London SE11",NA,A,2,1,1,2 bed flat for sale
8855,https://www.zoopla.co.uk//for-sale/details/53811899?search_identifier=46a18dfe473d6cc9c9db6ad36dd02ec1,"£290,000","Manor Road, Sidcup DA15",NA,A,2,1,1,2 bed flat for sale
8856,https://www.zoopla.co.uk//for-sale/details/46132912?search_identifier=46a18dfe473d6cc9c9db6ad36dd02ec1,"£850,000","Leonard Street, London EC2A",NA,A,2,NA,NA,2 bed flat for sale
8857,https://www.zoopla.co.uk//for-sale/details/53811506?search_identifier=46a18dfe473d6cc9c9db6ad36dd02ec1,"£200,000","Lordship Lane, London N17",NA,A,NA,NA,NA,Studio for sale
8858,https://www.zoopla.co.uk//for-sale/details/52065903?search_identifier=46a18dfe473d6cc9c9db6ad36dd02ec1,"£300,000",London N17,NA,A,1,NA,NA,1 bed flat for sale
8859,https://www.zoopla.co.uk//for-sale/details/53811398?search_identifier=46a18dfe473d6cc9c9db6ad36dd02ec1,"£275,000","Rowanwood Avenue, Sidcup DA15",NA,A,1,NA,NA,1 bed flat for sale
8860,https://www.zoopla.co.uk//for-sale/details/53811301?search_identifier=46a18dfe473d6cc9c9db6ad36dd02ec1,"£550,000","Agar Grove, Camden NW1",NA,A,2,1,1,2 bed flat for sale
8861,https://www.zoopla.co.uk//for-sale/details/53811104?search_identifier=46a18dfe473d6cc9c9db6ad36dd02ec1,"£325,000","Saxon Road, London SE25",NA,A,3,1,1,3 bed maisonette for sale
8862,https://www.zoopla.co.uk//for-sale/details/53810994?search_identifier=46a18dfe473d6cc9c9db6ad36dd02ec1,"£285,000","Lauriston Villas, Sanderstead Road, South Croydon, Surrey CR2",NA,A,2,NA,NA,2 bed flat for sale
8863,https://www.zoopla.co.uk//for-sale/details/53810971?search_identifier=46a18dfe473d6cc9c9db6ad36dd02ec1,"£275,000","Blythe Vale, Catford, London SE6",NA,A,1,1,1,1 bed flat for sale
8864,https://www.zoopla.co.uk//for-sale/details/53810938?search_identifier=46a18dfe473d6cc9c9db6ad36dd02ec1,"£250,000","Moreton Road, South Croydon, Surrey CR2",NA,A,1,1,1,1 bed maisonette for sale
8865,https://www.zoopla.co.uk//for-sale/details/53810926?search_identifier=46a18dfe473d6cc9c9db6ad36dd02ec1,"£165,000","Moreton Road, South Croydon, Surrey CR2",NA,A,1,1,1,1 bed maisonette for sale
8866,https://www.zoopla.co.uk//for-sale/details/53810919?search_identifier=46a18dfe473d6cc9c9db6ad36dd02ec1,"£350,000","Clarence Avenue, The Point IG2",NA,A,2,2,1,2 bed flat for sale
8867,https://www.zoopla.co.uk//for-sale/details/53810895?search_identifier=46a18dfe473d6cc9c9db6ad36dd02ec1,"£375,000","High Road, London N12",NA,A,2,1,1,2 bed flat for sale
8868,https://www.zoopla.co.uk//for-sale/details/52225197?search_identifier=46a18dfe473d6cc9c9db6ad36dd02ec1,"£570,000","21 Wharf Street, London SE8",NA,A,2,1,1,2 bed flat for sale
8869,https://www.zoopla.co.uk//for-sale/details/53809409?search_identifier=46a18dfe473d6cc9c9db6ad36dd02ec1,"£950,000","Piano Yard, London NW5",849 sq. ft*,A,3,NA,NA,3 bed flat for sale
8870,https://www.zoopla.co.uk//for-sale/details/53809407?search_identifier=46a18dfe473d6cc9c9db6ad36dd02ec1,"£475,000","New Park Court, Brixton Hill, London SW2",NA,A,3,1,1,3 bed flat for sale
8871,https://www.zoopla.co.uk//for-sale/details/53809033?search_identifier=46a18dfe473d6cc9c9db6ad36dd02ec1,"£350,000","Stevens Close, Beckenham BR3",NA,A,2,1,1,2 bed flat for sale
8872,https://www.zoopla.co.uk//new-homes/details/53808959?search_identifier=46a18dfe473d6cc9c9db6ad36dd02ec1,"£1,600,000","Fulham, London SW6","1,330 sq. ft*",N,2,2,1,2 bed flat for sale
8873,https://www.zoopla.co.uk//new-homes/details/53808932?search_identifier=46a18dfe473d6cc9c9db6ad36dd02ec1,"£565,000","Mercier Court, Royal Wharf, Docklands E16",NA,N,2,2,1,2 bed flat for sale
8874,https://www.zoopla.co.uk//for-sale/details/52537279?search_identifier=46a18dfe473d6cc9c9db6ad36dd02ec1,"£600,000","The Tower, One St George Wharf, London SW8",NA,A,1,1,1,1 bed flat for sale
8875,https://www.zoopla.co.uk//for-sale/details/53808834?search_identifier=e58c5372d9d84dfc32db6f134b4f1d86,"£419,950","Granville Road, North Finchley, London N12",NA,A,2,NA,NA,2 bed flat for sale
8876,https://www.zoopla.co.uk//for-sale/details/53808701?search_identifier=e58c5372d9d84dfc32db6f134b4f1d86,"£550,000","Sun Passage, London SE16",NA,A,2,1,1,2 bed flat for sale
8877,https://www.zoopla.co.uk//for-sale/details/53808696?search_identifier=e58c5372d9d84dfc32db6f134b4f1d86,"£325,000","Hendon Park View, Great North Way, Hendon NW4",NA,A,1,1,NA,1 bed flat for sale
8878,https://www.zoopla.co.uk//for-sale/details/53808633?search_identifier=e58c5372d9d84dfc32db6f134b4f1d86,"£360,000","Lochleven House, The Grange, London N2",NA,A,2,NA,NA,2 bed flat for sale
8879,https://www.zoopla.co.uk//new-homes/details/46580671?search_identifier=e58c5372d9d84dfc32db6f134b4f1d86,"£925,000","Arena Tower, 6 Baltimore Wharf, Canary Wharf, London E14",NA,N,2,2,1,2 bed flat for sale
8880,https://www.zoopla.co.uk//for-sale/details/53808528?search_identifier=e58c5372d9d84dfc32db6f134b4f1d86,"£955,000","Arena Tower, 25 Crossharbour Plaza, London E14",NA,A,2,2,1,2 bed flat for sale
8881,https://www.zoopla.co.uk//for-sale/details/53808485?search_identifier=e58c5372d9d84dfc32db6f134b4f1d86,"£318,000","Agate Close, London NW10",NA,A,1,1,1,1 bed flat for sale
8882,https://www.zoopla.co.uk//for-sale/details/53808478?search_identifier=e58c5372d9d84dfc32db6f134b4f1d86,"£500,000","Fielding Road, London W4",NA,A,1,1,1,1 bed flat for sale
8883,https://www.zoopla.co.uk//for-sale/details/53808459?search_identifier=e58c5372d9d84dfc32db6f134b4f1d86,"£349,950","Lyndhurst Prior, Whitehorse Lane, London SE25",NA,A,2,1,1,2 bed flat for sale
8884,https://www.zoopla.co.uk//for-sale/details/53808370?search_identifier=e58c5372d9d84dfc32db6f134b4f1d86,"£499,950","Banister Road, London W10",NA,A,2,1,1,2 bed flat for sale
8885,https://www.zoopla.co.uk//for-sale/details/53808309?search_identifier=e58c5372d9d84dfc32db6f134b4f1d86,"£490,000","Craig House, High Street, Walthamstow E17",NA,A,2,1,1,2 bed flat for sale
8886,https://www.zoopla.co.uk//for-sale/details/53808292?search_identifier=e58c5372d9d84dfc32db6f134b4f1d86,"£300,000","Kingswood Drive, London SE19",NA,A,1,1,1,1 bed flat for sale
8887,https://www.zoopla.co.uk//for-sale/details/53052429?search_identifier=e58c5372d9d84dfc32db6f134b4f1d86,"£280,000","Melfort Road, Thornton Heath CR7",NA,A,2,1,1,2 bed flat for sale
8888,https://www.zoopla.co.uk//for-sale/details/53808013?search_identifier=e58c5372d9d84dfc32db6f134b4f1d86,"£235,000","Review Road, Dagenham RM10",NA,A,2,1,1,2 bed flat for sale
8889,https://www.zoopla.co.uk//for-sale/details/53807998?search_identifier=e58c5372d9d84dfc32db6f134b4f1d86,"£325,000","Adenmore Road, Catford SE6",NA,A,1,1,1,1 bed flat for sale
8890,https://www.zoopla.co.uk//for-sale/details/53807794?search_identifier=e58c5372d9d84dfc32db6f134b4f1d86,"£500,000","23 Plumbers Row, London E1",NA,A,1,1,1,1 bed flat for sale
8891,https://www.zoopla.co.uk//for-sale/details/53807659?search_identifier=e58c5372d9d84dfc32db6f134b4f1d86,"£300,000","Archway Road, Highgate, London N6",26 sq. m*,A,1,1,1,1 bed flat for sale
8892,https://www.zoopla.co.uk//for-sale/details/49791792?search_identifier=e58c5372d9d84dfc32db6f134b4f1d86,"£280,000","Willesden Lane, London NW6",NA,A,NA,1,1,Studio for sale
8893,https://www.zoopla.co.uk//for-sale/details/53807623?search_identifier=e58c5372d9d84dfc32db6f134b4f1d86,"£2,750,000","Northfield Avenue, London W13",NA,A,NA,NA,NA,Studio for sale
8894,https://www.zoopla.co.uk//for-sale/details/53807540?search_identifier=e58c5372d9d84dfc32db6f134b4f1d86,"£325,000","Chatsworth Road, London E15",NA,A,2,1,1,2 bed flat for sale
8895,https://www.zoopla.co.uk//for-sale/details/53807355?search_identifier=e58c5372d9d84dfc32db6f134b4f1d86,"£198,000","Schoolgate Drive, Morden, Surrey SM4",NA,A,1,NA,NA,1 bed flat for sale
8896,https://www.zoopla.co.uk//for-sale/details/53807302?search_identifier=e58c5372d9d84dfc32db6f134b4f1d86,"£350,000","St Benedicts Close, London SW17",NA,A,2,NA,NA,2 bed flat for sale
8897,https://www.zoopla.co.uk//for-sale/details/53807303?search_identifier=e58c5372d9d84dfc32db6f134b4f1d86,"£350,000","Eskmont Ridge, London SE19",NA,A,2,NA,NA,2 bed maisonette for sale
8898,https://www.zoopla.co.uk//for-sale/details/53807299?search_identifier=e58c5372d9d84dfc32db6f134b4f1d86,"£275,000","Brampton Road, Croydon CR0",NA,A,2,NA,NA,2 bed maisonette for sale
8899,https://www.zoopla.co.uk//for-sale/details/50429177?search_identifier=e58c5372d9d84dfc32db6f134b4f1d86,"£575,000","Carlton Road, Ealing, London W5",NA,A,2,NA,NA,2 bed flat for sale
8900,https://www.zoopla.co.uk//for-sale/details/53807161?search_identifier=e84406c9a2fcd7eeca5ee96732684431,"£500,000","123 Tredegar Road, London E3",NA,A,4,1,1,4 bed maisonette for sale
8901,https://www.zoopla.co.uk//for-sale/details/53807097?search_identifier=e84406c9a2fcd7eeca5ee96732684431,"£400,000","Tritton Road, London SE21",NA,A,2,1,1,2 bed flat for sale
8902,https://www.zoopla.co.uk//for-sale/details/53807021?search_identifier=e84406c9a2fcd7eeca5ee96732684431,"£575,000","Ravenscar Lodge, London SW20",NA,A,2,1,1,2 bed flat for sale
8903,https://www.zoopla.co.uk//new-homes/details/53807022?search_identifier=e84406c9a2fcd7eeca5ee96732684431,"£340,000","Egbert Mews, Kingston KT1",NA,N,1,1,1,1 bed property for sale
8904,https://www.zoopla.co.uk//for-sale/details/53807018?search_identifier=e84406c9a2fcd7eeca5ee96732684431,"£450,000","Haydons Road, Wimbledon SW19",NA,A,2,1,1,2 bed maisonette for sale
8905,https://www.zoopla.co.uk//new-homes/details/53807023?search_identifier=e84406c9a2fcd7eeca5ee96732684431,"£350,000","Egbert Mews, Kingston KT1",NA,N,1,1,1,1 bed property for sale
8906,https://www.zoopla.co.uk//for-sale/details/53807013?search_identifier=e84406c9a2fcd7eeca5ee96732684431,"£600,000","Queens Road, London SW19",NA,A,2,2,NA,2 bed flat for sale
