,URL,ville,code postal,prix £,surface m2,Enchère ou vente,Etat neuf ou ancien,Nombre de chambres,Nombre de SDB,Nombre de séjour,Description,Type bien,Aide,adresse
51,https://www.zoopla.co.uk//for-sale/details/54184438,Londres,SW6,2000000,NA,vente,A,4,2,1,4 bed property for sale,Maison avec jardin,NA,"Fulham Broadway, Fulham Broadway, London SW6"
52,https://www.zoopla.co.uk//for-sale/details/54184431,Londres,W4,1350000,NA,vente,A,4,3,2,4 bed property for sale,Maison avec jardin,NA,"Fitzroy Crescent, Grove Park, London W4"
53,https://www.zoopla.co.uk//for-sale/details/54184429,Londres,W3,395000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA,"Billington Mews, London W3"
54,https://www.zoopla.co.uk//for-sale/details/54184404,Londres,NW9,340000,NA,vente,A,1,1,1,1 bed flat for sale,Appartement,NA,"Meadowlark House, Hendon, London NW9"
55,https://www.zoopla.co.uk//for-sale/details/54184353,Londres,N4,1195000,NA,vente,A,NA,NA,NA,Terraced house for sale,Maison,NA,"Fonthill Road, London N4"
56,https://www.zoopla.co.uk//for-sale/details/49393570,Londres,W4,699950,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA,"Acton Lane, London W4"
57,https://www.zoopla.co.uk//for-sale/details/54184241,Londres,E6,425000,NA,vente,A,3,1,1,3 bed terraced house for sale,Maison,NA,"Altmore Ave, London E6"
58,https://www.zoopla.co.uk//for-sale/details/54184236,Londres,W3,425000,NA,vente,A,2,2,1,2 bed flat for sale,Appartement,NA,"Victoria Road, London W3"
59,https://www.zoopla.co.uk//new-homes/details/54184237,Londres,W14,2150000,117,vente,N,3,2,1,3 bed flat for sale,Appartement,NA,"Kensington High Street, London W14"
60,https://www.zoopla.co.uk//for-sale/details/54184197,Isleworth,TW7,625000,NA,vente,A,3,3,3,3 bed end terrace house for sale,Maison,NA,"Whitton Dene, Isleworth TW7"
61,https://www.zoopla.co.uk//for-sale/details/54184172,Londres,SW16,1500000,NA,vente,A,8,1,1,8 bed detached house for sale,Maison,NA,"Tankerville Road, London SW16"
62,https://www.zoopla.co.uk//for-sale/details/54184142,Teddington,TW11,669950,NA,vente,A,2,1,1,2 bed property for sale,Maison avec jardin,NA,"Luther Road, Teddington TW11"
